TeamId,TeamName,SubmissionDate,Score
365763,"Paulo Pinto","2016-08-31 18:51:53",9.53944
365763,"Paulo Pinto","2016-08-31 18:57:26",0.16042
365763,"Paulo Pinto","2016-08-31 19:12:15",0.12632
367116,"Russ Boucher","2016-09-04 02:46:17",0.12319
367116,"Russ Boucher","2016-09-04 15:34:12",0.12241
367116,"Russ Boucher","2016-09-04 21:54:14",0.12220
367702,JMT5802,"2016-09-05 15:12:05",9.45383
367702,JMT5802,"2016-09-05 15:18:40",0.13325
367702,JMT5802,"2016-09-05 15:38:20",0.13161
367702,JMT5802,"2016-09-06 00:38:35",0.12851
365763,"Paulo Pinto","2016-09-06 12:58:34",0.12467
365763,"Paulo Pinto","2016-09-06 12:59:13",0.12405
367702,JMT5802,"2016-09-07 00:25:02",0.12678
367116,"Russ Boucher","2016-09-07 15:06:55",0.12193
370134,vasilisnikolaou,"2016-09-11 21:41:14",0.17795
367116,"Russ Boucher","2016-09-12 15:54:53",0.11905
367116,"Russ Boucher","2016-09-15 19:00:39",0.11905
367116,"Russ Boucher","2016-09-15 19:01:57",0.11889
367702,JMT5802,"2016-09-17 12:37:35",0.12669
372591,"Richard Giles","2016-09-18 00:27:01",0.12900
370134,vasilisnikolaou,"2016-09-18 09:31:39",0.14550
372929,duvallwh,"2016-09-18 23:18:23",0.19355
372929,duvallwh,"2016-09-18 23:30:14",0.17085
367116,"Russ Boucher","2016-09-19 14:09:54",0.11866
367116,"Russ Boucher","2016-09-19 14:11:59",0.11803
370134,vasilisnikolaou,"2016-09-19 19:18:25",0.13779
372929,duvallwh,"2016-09-20 22:13:55",0.15331
373531,Milin,"2016-09-21 11:18:37",0.22968
373531,Milin,"2016-09-22 12:28:02",0.15371
367116,"Russ Boucher","2016-09-22 18:27:08",0.11764
373531,Milin,"2016-09-23 11:18:31",0.14098
367116,"Russ Boucher","2016-09-23 17:38:35",0.11757
367702,JMT5802,"2016-09-24 10:47:26",0.12409
367702,JMT5802,"2016-09-24 14:30:09",0.12391
375530,"Ravi Prakash","2016-09-24 18:28:19",0.40890
375530,"Ravi Prakash","2016-09-24 18:42:56",0.12851
370134,vasilisnikolaou,"2016-09-25 10:10:46",0.13711
373531,Milin,"2016-09-27 12:13:24",0.13809
367116,"Russ Boucher","2016-09-28 15:31:38",0.11757
377928,Cyndy,"2016-09-30 02:37:05",0.12635
379892,rhenry,"2016-10-04 14:53:33",0.12646
379892,rhenry,"2016-10-04 18:44:32",0.12396
380221,"Oliver Han","2016-10-05 04:53:46",0.40890
1546585,"Team IO","2016-10-09 18:04:59",0.14768
1546585,"Team IO","2016-10-09 22:04:17",0.14112
1546585,"Team IO","2016-10-10 02:39:55",0.14050
390591,"Joseph Pinto","2016-10-21 05:49:14",0.12391
391357,"khammar mouna","2016-10-22 18:10:46",0.14710
391357,"khammar mouna","2016-10-22 18:21:15",0.14675
391357,"khammar mouna","2016-10-22 18:29:30",0.14659
391724,BranislavPecher,"2016-10-23 14:25:47",0.42226
391724,BranislavPecher,"2016-10-25 07:10:56",0.23272
391724,BranislavPecher,"2016-10-25 09:17:02",0.15272
391724,BranislavPecher,"2016-10-26 15:28:45",0.15161
395288,"Somin Wadhwa","2016-10-29 08:18:55",0.12689
397189,ZavodRobotov,"2016-11-01 17:44:42",9.45396
397189,ZavodRobotov,"2016-11-01 17:46:47",0.12086
397189,ZavodRobotov,"2016-11-01 17:55:49",0.11765
397189,ZavodRobotov,"2016-11-02 15:26:49",0.11765
398202,"Corey Kuhn","2016-11-03 04:21:35",0.63634
397189,ZavodRobotov,"2016-11-05 12:41:14",0.11654
397189,ZavodRobotov,"2016-11-06 08:15:03",0.11630
